playerId,year,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced
leigh-torrence-1,2004,Stanford,Pac-10,SR,DB,11,,,,,,4,24,6.0,0,,,,,
mao-tosi-1,1999,Idaho,Big West,,DL,9,,,,,,1,13,13.0,0,,,,,
paul-toviessi-1,2000,Marshall,MAC,SR,DL,12,,,,,,1,-1,-1.0,0,,,,,
greg-townsend-jr-1,2012,USC,Pac-12,FR,DL,,11,4,15,1.5,1.5,,,,,0,0,0,0,0
greg-townsend-jr-1,2014,USC,Pac-12,JR,DE,6,6,3,9,3.0,2.0,0,0,,0,0,0,,,0
greg-townsend-jr-1,2015,USC,Pac-12,SR,DE,14,18,26,44,6.5,2.0,0,0,,0,0,0,,,0
patrick-trahan-1,2006,Auburn,SEC,FR,LB,13,11,3,14,1.0,0.0,0,0,,0,0,0,0,0,0
patrick-trahan-1,2008,Ole Miss,SEC,JR,LB,13,17,12,29,4.5,2.0,0,0,,0,0,0,0,0,1
patrick-trahan-1,2009,Ole Miss,SEC,SR,LB,13,42,27,69,12.0,5.0,2,32,16.0,0,,,34,1,
drue-tranquill-1,2014,Notre Dame,Ind,FR,S,10,17,16,33,1.5,0.5,1,-2,-2.0,0,0,1,,,0
drue-tranquill-1,2015,Notre Dame,Ind,SO,S,3,6,3,9,2.5,0.0,0,0,,0,2,0,,,0
drue-tranquill-1,2016,Notre Dame,Ind,JR,S,12,54,25,79,2.0,0.0,1,0,0.0,0,2,0,,,0
drue-tranquill-1,2017,Notre Dame,Ind,SR,LB,13,44,41,85,10.5,1.5,1,0,0.0,0,3,3,,,1
drue-tranquill-1,2018,Notre Dame,Ind,SR,LB,13,63,23,86,9.0,3.5,0,0,,0,4,1,,,0
james-trapp-1,1992,Clemson,ACC,,DB,10,,,,,,1,39,39.0,1,,,,,
justin-trattou-1,2007,Florida,SEC,FR,DL,12,13,8,21,6.5,3.5,1,0,0.0,0,,,,,
justin-trattou-1,2008,Florida,SEC,SO,DL,14,17,10,27,4.0,1.5,0,0,,0,1,0,0,0,0
justin-trattou-1,2009,Florida,SEC,JR,DL,13,11,6,17,4.5,2.0,1,53,53.0,0,,,,,
justin-trattou-1,2010,Florida,SEC,SR,DL,13,35,22,57,10.0,1.5,1,35,35.0,1,,,,,
phil-trautwein-1,2005,Florida,SEC,SO,OL,12,2,0,2,0.0,0.0,,,,,0,0,0,0,0
damarius-travis-1,2012,Minnesota,Big Ten,FR,DB,,4,4,8,0.5,0.0,,,,,0,0,0,0,0
damarius-travis-1,2013,Minnesota,Big Ten,SO,DB,12,14,14,28,0.0,0.0,0,0,,0,4,0,,,0
damarius-travis-1,2014,Minnesota,Big Ten,JR,DB,13,37,23,60,3.5,0.0,2,17,8.5,0,5,1,,,1
damarius-travis-1,2015,Minnesota,Big Ten,SR,DB,1,5,5,10,0.0,0.0,0,0,,0,0,0,,,0
damarius-travis-1,2016,Minnesota,Big Ten,SR,DB,13,56,27,83,4.0,0.0,2,0,0.0,0,4,1,,,0
mike-travis-1,1982,Georgia Tech,Ind,,DB,11,,,,,,1,0,0.0,0,,,,,
mike-travis-1,1983,Georgia Tech,ACC,,DB,7,,,,,,1,14,14.0,0,,,,,
mike-travis-1,1984,Georgia Tech,ACC,,DB,11,,,,,,3,46,15.3,0,,,,,
mike-travis-1,1985,Georgia Tech,ACC,,DB,11,,,,,,1,0,0.0,0,,,,,
brynden-trawick-2,2011,Troy,Sun Belt,JR,DB,12,75,48,123,2.5,1.0,0,0,,0,2,0,0,0,1
brynden-trawick-2,2012,Troy,Sun Belt,SR,DB,12,50,33,83,5.0,0.0,3,123,41.0,1,,,,,
blake-treadwell-1,2009,Michigan State,Big Ten,FR,DL,9,2,9,11,0.5,0.5,,,,,1,0,0,0,0
blake-treadwell-1,2010,Michigan State,Big Ten,SO,DL,9,6,10,16,0.5,0.0,0,0,,0,0,0,,,0
morgan-trent-1,2005,Michigan,Big Ten,SO,DB,11,20,2,22,1.0,0.0,2,2,1.0,0,,,,,
morgan-trent-1,2006,Michigan,Big Ten,JR,DB,12,40,5,45,2.0,0.0,1,0,0.0,0,,,,,
