player_id,position,games,gamestarts,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_per_g,rec_yds_per_g,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_yds_per_att,rush_yds_per_g,Component_1,Component_2,Component_3,Component_4,kmeans_pca_cluster
IzzoRy00,TE,18,16,29,19,313,17.15,1,1.05,17.8,11.35,0,0,0,0.0,0.0,-1.0815082276504975,-0.6048443307509327,2.6627405509894806,-1.1964914446095356,3
JackCh00,WR,18,1,20,14,171,10.233333333333333,3,0.46666666666666673,5.833333333333333,9.0,4,22,0,1.8333333333333333,0.6,-1.797193030207787,0.26410665429418606,0.9680340165843826,-0.24456599752505057,1
JackDa00,WR,123,106,915,499,7132,14.222222222222221,51,4.155555555555555,58.71111111111111,7.911111111111111,6,18,0,1.7777777777777777,0.2111111111111111,5.271957123183965,-1.7968140123760292,-0.16110672510811344,0.2962260376858373,0
JackDe00,WR,167,154,1108,620,10877,18.22142857142857,57,3.507142857142857,62.00714285714285,10.514285714285716,71,459,4,4.3,2.3357142857142854,9.062900399778453,3.570660938943514,0.18307988170659498,-2.306753210017063,0
JackVi00,WR,155,137,1035,540,9080,16.73333333333333,57,3.2999999999999994,54.51666666666667,8.608333333333333,15,161,0,4.775,1.0,6.63371542685771,-0.8924332662940692,-0.14512968411442537,0.20397016476943194,0
JacoTa00,WR,60,7,88,40,424,11.066666666666665,3,0.6333333333333333,6.8,4.666666666666667,3,-22,0,-3.6666666666666665,-0.5333333333333333,-1.9065224902587317,-0.788563042082683,-0.6451346182496575,-1.4929124598034225,1
JameCe00,WR,5,0,2,1,29,29.0,0,0.2,5.8,14.5,0,0,0,0.0,0.0,-1.11132733157013,-0.8215047654276015,5.2364905194927776,-2.5571470091420476,3
JameJe00,TE,96,59,228,156,1518,9.471428571428572,12,1.5285714285714287,14.585714285714287,6.9,0,0,0,0.0,0.0,0.054681265795753865,-0.7680080981218463,-0.6041415256828104,-0.5771803806632018,3
JameRi00,WR,40,10,59,38,689,19.666666666666668,3,1.0666666666666667,18.7,12.366666666666667,2,-1,0,-0.16666666666666666,-0.03333333333333333,-0.6415072254187453,-0.755592247732626,3.163985022366996,-1.605307960849882,3
JaniJe00,WR,51,1,38,17,200,15.5,1,0.4,4.2,5.475,2,38,1,4.75,0.6,-1.4174942906475376,1.077841429555021,0.8181433446632056,0.049179924487864,1
