,age,team,g,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,rec_first_down,rec_long,rec_per_g,rec_yds_per_g,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_td,rush_first_down,rush_long,rush_yds_per_att,rush_yds_per_g,rush_att_per_g,touches,yds_per_touch,yds_from_scrimmage,rush_receive_td,fumbles,av,player_id,position,snaps_played,total_snaps,snap_played_percentage
298,22,ATL,16,3,15,11,55,5.0,2,4,12,0.7,3.4,73.3,3.7,0,0,0,0,0,0.0,0.0,0.0,11,5.0,55,2,0,0.0,ToilLe00,TE,192.0,1067.0,0.18
299,22,TEN,16,13,30,18,157,8.7,2,5,32,1.1,9.8,60.0,5.2,0,0,0,0,0,0.0,0.0,0.0,18,8.7,157,2,0,1.0,SmitJo01,TE,,,
300,22,PIT,15,3,4,2,9,4.5,0,0,5,0.1,0.6,50.0,2.3,0,0,0,0,0,0.0,0.0,0.0,2,4.5,9,0,0,0.0,JohnDa05,TE,,,
301,22,STL,16,10,14,8,106,13.3,1,5,27,0.5,6.6,57.1,7.6,0,0,0,0,0,0.0,0.0,0.0,8,13.3,106,1,0,1.0,ManuBr00,TE,,,
302,22,GNB,14,1,20,13,144,11.1,1,7,31,0.9,10.3,65.0,7.2,0,0,0,0,0,0.0,0.0,0.0,13,11.1,144,1,0,2.0,MartDa00,TE,,,
303,22,SEA,15,0,1,1,16,16.0,1,1,16,0.1,1.1,100.0,16.0,0,0,0,0,0,0.0,0.0,0.0,1,16.0,16,1,0,0.0,HannRy00,TE,,,
304,22,NWE,14,12,113,79,910,11.5,7,47,46,5.6,65.0,69.9,8.1,5,45,0,2,19,9.0,3.2,0.4,84,11.4,955,7,1,10.0,HernAa00,TE,,,
305,22,STL,8,3,22,13,146,11.2,3,9,36,1.6,18.3,59.1,6.6,0,0,0,0,0,0.0,0.0,0.0,13,11.2,146,3,0,1.0,HoomMi00,TE,,,
306,22,ARI,7,2,3,3,38,12.7,0,2,17,0.4,5.4,100.0,12.7,0,0,0,0,0,0.0,0.0,0.0,3,12.7,38,0,0,0.0,NiklTr00,TE,89.0,445.0,0.2
307,22,PIT,16,13,60,39,338,8.7,3,20,24,2.4,21.1,65.0,5.6,0,0,0,0,0,0.0,0.0,0.0,39,8.7,338,3,0,3.0,JameJe00,TE,,,
308,22,DEN,4,0,15,11,121,11.0,1,6,27,2.8,30.3,73.3,8.1,0,0,0,0,0,0.0,0.0,0.0,11,11.0,121,1,0,1.0,OkwuAl00,TE,,,
309,22,KAN,5,0,2,1,5,5.0,0,0,5,0.2,1.0,50.0,2.5,0,0,0,0,0,0.0,0.0,0.0,1,5.0,5,0,0,0.0,GrayNo00,TE,74.0,336.0,0.22
310,22,DEN,16,11,66,40,562,14.1,3,23,75,2.5,35.1,60.6,8.5,3,-12,0,0,-2,-4.0,-0.8,0.2,43,12.8,550,3,1,4.0,FantNo00,TE,,,
311,22,MIA,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,EppsDe00,TE,,,
312,22,CAR,15,7,58,23,371,16.1,4,20,48,1.5,24.7,39.7,6.4,0,0,0,0,0,0.0,0.0,0.0,23,16.1,371,4,0,3.0,FuncDe00,TE,,,
313,22,STL,5,0,3,2,39,19.5,1,2,27,0.4,7.8,66.7,13.0,0,0,0,0,0,0.0,0.0,0.0,2,19.5,39,1,0,0.0,ByrdDo00,TE,,,
314,22,DAL,4,1,1,1,0,0.0,0,0,0,0.3,0.0,100.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0,0,0.0,SwaiGe00,TE,,,
315,22,WAS,16,9,63,37,314,8.5,6,24,31,2.3,19.6,58.7,5.0,0,0,0,0,0,0.0,0.0,0.0,37,8.5,314,6,0,2.0,CoolCh00,TE,,,
316,22,BUF,3,1,3,3,19,6.3,0,1,10,1.0,6.3,100.0,6.3,0,0,0,0,0,0.0,0.0,0.0,3,6.3,19,0,0,0.0,SchoDe00,TE,,,
317,22,MIN,13,7,43,30,365,12.2,5,22,36,2.3,28.1,69.8,8.5,0,0,0,0,0,0.0,0.0,0.0,30,12.2,365,5,0,3.0,SmitIr01,TE,,,
318,22,NYG,9,6,42,31,268,8.6,3,12,32,3.4,29.8,73.8,6.4,0,0,0,0,0,0.0,0.0,0.0,31,8.6,268,3,2,2.0,SmitKa00,TE,,,
319,23,DEN,15,0,1,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,,QuinRi00,TE,,,
320,23,BAL,16,3,50,34,552,16.2,3,29,74,2.1,34.5,68.0,11.0,0,0,0,0,0,0.0,0.0,0.0,34,16.2,552,3,0,5.0,AndrMa00,TE,,,
321,23,NYJ,14,0,10,5,41,8.2,0,1,17,0.4,2.9,50.0,4.1,0,0,0,0,0,0.0,0.0,0.0,5,8.2,41,0,0,0.0,DreeJo00,TE,,,
