,age,team,g,gs,def_int,def_int_yds,def_int_td,def_int_long,pass_defended,fumbles_forced,fumbles,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,safety_md,player_id,position,snaps_played,total_snaps,snap_played_percentage,def_targets,def_cmp,def_cmp_perc,def_cmp_yds,def_yds_per_cmp,def_yds_per_target,def_cmp_td,def_pass_rating,def_tgt_yds_per_att,def_air_yds,def_yac,blitzes,qb_hurry,qb_knockdown,pressures,tackles_missed,tackles_missed_pct
6839,24,KAN,13,4,0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,21,21.0,0.0,0.0,0.0,0.0,CoopMa00,DB,287.0,870.0,0.33,,,,,,,,,,,,,,,,,
6840,24,IND,10,10,3,26.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,51,46.0,5.0,4.0,1.0,0.0,DaviVo99,DB,591.0,672.0,0.88,,,,,,,,,,,,,,,,,
6841,24,DET,11,11,0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,51,36.0,15.0,2.0,2.0,0.0,DelmLo99,DB,,,,,,,,,,,,,,,,,,,,
6842,24,DAL,11,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8.0,0.0,1.0,0.0,0.0,GoodDw20,DB,,,,,,,,,,,,,,,,,,,,
6843,24,CAR,16,16,3,25.0,0.0,25.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,77,65.0,12.0,5.0,0.0,0.0,GranDe21,DB,,,,,,,,,,,,,,,,,,,,
6844,24,TAM,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7.0,3.0,0.0,0.0,0.0,GibsDa20,DB,,,,,,,,,,,,,,,,,,,,
6845,24,CHI,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,GreeMi20,DB,,,,,,,,,,,,,,,,,,,,
6846,24,TEN,10,2,1,25.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,49,42.0,7.0,0.0,0.0,0.0,WoolAn20,DB,,,,,,,,,,,,,,,,,,,,
6847,24,NWE,15,14,4,51.0,0.0,24.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,69,59.0,10.0,1.0,0.0,0.0,WilsEu20,DB,,,,,,,,,,,,,,,,,,,,
6848,24,STL,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,0.0,WaltSh20,DB,,,,,,,,,,,,,,,,,,,,
6849,24,NYG,13,1,2,20.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,23,21.0,2.0,0.0,0.0,0.0,WalkFr20,DB,,,,,,,,,,,,,,,,,,,,
6850,24,DET,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,18.0,3.0,0.0,0.0,0.0,SpieAm99,DB,190.0,333.0,0.57,,,,,,,,,,,,,,,,,
6851,24,SDG,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,9.0,3.0,0.0,0.0,0.0,StucDa20,DB,,,,,,,,,,,,,,,,,,,,
6852,24,ATL,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,6.0,2.0,0.0,0.0,0.0,SchiSh99,DB,,,,,,,,,,,,,,,,,,,,
