player_id,position,games,gamestarts,def_int,def_int_td,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,def_targets,def_cmp,Component_1,Component_2,Component_3,kmeans_pca_cluster
HoltTe20,DB,71,43,8,0.0,15.0,4.0,0.5,244,189.0,55.0,4.0,2.0,0.0,0.0,0.2198028415369193,-0.77429740095606,-0.2328041895442306,3
HookAm00,S,36,7,4,0.0,9.0,1.0,0.0,102,72.0,30.0,1.0,0.0,53.0,38.0,-1.4266521768112075,0.6629874013313847,-0.14657807740800216,0
HookMa00,S,43,37,7,0.0,12.0,0.0,0.0,141,93.0,48.0,2.0,0.0,55.0,40.0,-0.8204171731114789,0.6815667876652574,-0.3285358408534609,0
HopeCh21,DB,163,113,20,1.0,50.0,4.0,4.0,730,563.0,167.0,20.0,7.0,0.0,0.0,5.746839405558442,-1.6334350337507164,0.0728125238571206,1
HornJa00,DB,3,3,1,0.0,1.0,0.0,0.0,5,3.0,2.0,0.0,0.0,7.0,2.0,-2.623021373922647,-0.18855595413066753,-0.008854273650269277,0
HortCh99,DB,29,15,3,0.0,8.0,1.0,1.0,122,91.0,31.0,8.0,3.0,0.0,0.0,-1.0781524226937265,-0.5765793166883969,0.5447202843541568,0
HoslJa00,DB,43,15,2,0.0,13.0,1.0,0.0,90,69.0,21.0,2.0,0.0,0.0,0.0,-1.5875388492404026,-0.4523698280768062,-0.23266550054025908,0
HousCh99,DB,99,91,13,3.0,79.0,4.0,0.0,376,324.0,52.0,9.0,0.0,0.0,0.0,2.6723011970949244,-0.9671246450574063,-2.54707908730315,3
HousDa00,DB,87,45,7,0.0,54.0,2.0,3.0,221,185.0,36.0,8.0,3.0,5.0,4.0,0.7744817657815897,-0.7008517091894791,-0.014570586765344099,3
HousDe00,S,73,2,2,0.0,6.0,2.0,0.0,76,53.0,23.0,0.0,1.0,31.0,22.0,-1.4350655076075822,0.11932972767305838,-0.10220647959322855,0
HowaXa00,DB,65,64,24,1.0,65.0,4.0,1.0,221,171.0,50.0,6.0,1.0,253.0,138.0,2.329919118355715,3.8190700291274364,-1.4847843103638374,2
HoweJo21,DB,65,8,0,0.0,3.0,0.0,0.0,115,93.0,22.0,6.0,0.0,0.0,0.0,-1.5045152312407073,-0.5111301687126732,0.050370090551751595,0
HudsMa20,DB,62,0,0,0.0,5.0,1.0,0.0,89,71.0,18.0,0.0,0.0,0.0,0.0,-1.8163515483319175,-0.4688170774087128,-0.1354232597865348,0
