player_id,position,games,gamestarts,def_int,def_int_td,pass_defended,fumbles_forced,sacks,tackles_combined,tackles_solo,tackles_assists,tackles_loss,qb_hits,Component_1,Component_2,kmeans_pca_cluster
CravSu00,LB,16,3,1,0.0,5.0,0.0,1.0,52,35.0,17.0,4.0,3.0,-1.9037934399189838,-0.0742116058860446,0
CrowAn20,LB,65,41,5,0.0,17.0,4.0,7.0,346,233.0,113.0,18.0,5.0,0.8740986460610691,-0.7509652850045425,1
CrowCh20,LB,82,74,1,0.0,19.0,3.0,2.5,470,343.0,127.0,20.0,14.0,1.2851460629394809,-0.6929843269945897,1
CrowTa00,LB,20,15,0,0.0,5.0,1.0,1.0,124,68.0,56.0,4.0,3.0,-1.5295237469749239,-0.12466088868086682,0
CunnJe99,LB,38,14,0,0.0,1.0,2.0,3.5,60,44.0,16.0,8.0,10.0,-1.5478590929252873,0.4379251828153493,0
CunnZa00,LB,70,64,1,1.0,17.0,4.0,6.5,551,346.0,205.0,23.0,12.0,1.9420521684040963,-0.9784248141905836,1
CurrAa99,LB,53,41,0,0.0,14.0,4.0,5.5,225,179.0,46.0,18.0,19.0,-0.07011028250812251,0.35507205493086264,0
CurrRe99,LB,9,0,0,0.0,0.0,0.0,0.0,7,4.0,3.0,0.0,0.0,-2.4157999714459337,0.06769158650787295,0
CushBr99,LB,104,104,8,1.0,30.0,9.0,13.5,664,424.0,240.0,42.0,57.0,4.809603578387885,-0.49751069086945365,2
DansKa20,LB,212,193,20,6.0,84.0,20.0,43.0,1422,1077.0,345.0,127.0,64.0,14.705706629069178,-2.603096033991502,2
DaviAk01,LB,25,2,1,0.0,6.0,1.0,0.5,59,41.0,18.0,0.0,2.0,-1.8157358801220662,-0.11280265835612896,0
DaviAn20,LB,143,103,9,0.0,33.0,5.0,12.0,787,539.0,248.0,50.0,14.0,4.694240841668448,-1.7772864337214944,2
DaviBr99,LB,15,0,0,0.0,0.0,0.0,0.0,6,5.0,1.0,0.0,0.0,-2.3831371159187693,0.0713290768879191,0
DaviBu99,LB,7,3,0,0.0,0.0,0.0,0.0,24,18.0,6.0,0.0,0.0,-2.352319266227173,0.02905279269677112,0
DaviDe00,LB,152,138,2,0.0,38.0,3.0,29.5,981,659.0,322.0,79.0,78.0,6.327387158409536,0.40959149879009976,2
DaviDe99,LB,16,0,0,0.0,0.0,0.0,1.0,13,10.0,3.0,2.0,2.0,-2.293123462076963,0.1487708764979897,0
DaviJa01,LB,57,47,1,0.0,9.0,7.0,10.5,310,204.0,106.0,19.0,23.0,0.651936999969593,0.5118928514101313,1
DaviJa11,LB,6,1,0,0.0,0.0,0.0,0.0,27,19.0,8.0,0.0,1.0,-2.3534173620880545,0.04237136633314374,0
DaviJa24,LB,40,30,0,0.0,5.0,0.0,3.5,150,101.0,49.0,10.0,0.0,-1.1918491510237057,-0.1604197158424273,0
DaviLa00,LB,143,143,12,2.0,53.0,24.0,25.0,1167,834.0,333.0,129.0,57.0,10.369292651322091,-0.5034670286215724,2
DaviRo21,LB,49,1,0,0.0,0.0,1.0,0.0,55,42.0,13.0,0.0,0.0,-1.9298463890208608,0.01078343128057337,0
DaviTh20,LB,199,174,13,0.0,55.0,18.0,29.0,1216,859.0,357.0,90.0,61.0,9.866355130879635,-0.7862571249447989,2
DawsPa00,LB,16,0,0,0.0,1.0,0.0,0.0,16,10.0,6.0,0.0,0.0,-2.3168595102216205,0.03154524319072803,0
DeOsZa99,LB,199,0,0,0.0,0.0,1.0,0.0,87,71.0,16.0,0.0,0.0,-0.8570177900058621,-0.09352715072711046,0
DenmAn20,LB,27,0,0,0.0,0.0,0.0,0.0,23,19.0,4.0,0.0,0.0,-2.2510513398256915,0.03119895438394098,0
DentAk00,LB,90,32,0,0.0,3.0,1.0,2.5,203,130.0,73.0,13.0,12.0,-0.507646535697774,0.004549806964454062,0
DiggNa20,LB,170,138,5,0.0,33.0,4.0,11.5,679,541.0,138.0,71.0,10.0,4.448782861008231,-1.0217709537664255,2
DileZa99,LB,75,31,1,0.0,3.0,3.0,1.0,245,180.0,65.0,15.0,5.0,-0.3644907000192392,-0.21563753673424457,0
DillPh99,LB,7,0,0,0.0,0.0,0.0,0.0,4,3.0,1.0,0.0,0.0,-2.4412669626848933,0.07721349445899732,0
DionSh00,LB,46,7,1,0.0,2.0,2.0,2.5,97,70.0,27.0,7.0,3.0,-1.4086156948713486,0.05300949557334632,0
DizoJo99,LB,28,0,0,0.0,0.0,1.0,1.0,56,37.0,19.0,3.0,1.0,-1.9967705830714753,0.08682976528927175,0
DobbTi20,LB,110,22,3,0.0,12.0,6.0,2.0,257,198.0,59.0,12.0,7.0,0.3665080481455917,-0.3013332738455967,1
DownDe00,LB,43,8,0,0.0,1.0,0.0,0.0,38,27.0,11.0,0.0,1.0,-1.9971905487328439,-0.010753426594296997,0
DuprAl00,LB,87,68,1,1.0,12.0,9.0,40.5,238,175.0,63.0,54.0,71.0,2.6167830421788563,2.930010007994845,1
DuraJu99,LB,128,95,3,0.0,25.0,5.0,4.5,650,502.0,148.0,50.0,12.0,3.1221442411587366,-0.9696944886896651,1
DyexTr00,LB,19,5,0,0.0,2.0,0.0,0.0,32,17.0,15.0,0.0,1.0,-2.165055316321287,-0.009937485297484103,0
EbukSa00,LB,72,37,1,1.0,6.0,6.0,15.0,168,104.0,64.0,17.0,30.0,0.5041161826419759,0.8923309910157056,1
EddsA.99,LB,21,0,0,0.0,0.0,0.0,0.0,15,5.0,10.0,0.0,1.0,-2.2920121095475254,0.05826823186423542,0
EdmuTr01,LB,54,54,4,0.0,26.0,2.0,5.5,410,258.0,152.0,22.0,14.0,1.2521120357926945,-0.9170985596184453,1
EgbuEm00,LB,30,0,0,0.0,0.0,0.0,0.0,11,8.0,3.0,0.0,1.0,-2.2579382971509654,0.07513649142666583,0
EligUk00,LB,24,1,0,0.0,1.0,0.0,1.0,12,9.0,3.0,1.0,2.0,-2.226467079945037,0.1274044826432936,0
ElliKa00,LB,26,0,0,0.0,0.0,0.0,0.0,17,8.0,9.0,0.0,2.0,-2.246844228897648,0.07541091564270899,0
ElliKe20,LB,58,40,2,0.0,12.0,0.0,2.0,265,164.0,101.0,13.0,2.0,-0.216887522016844,-0.7504915506105766,0
ElliKe98,LB,13,9,0,0.0,3.0,0.0,1.0,52,43.0,9.0,3.0,2.0,-2.0435780510975707,0.03054559894275246,0
EmanKy00,LB,72,32,2,0.0,5.0,1.0,4.0,150,95.0,55.0,11.0,10.0,-0.6125558488130252,-0.08483133850437506,0
EnglLa99,LB,64,10,0,0.0,2.0,2.0,12.0,103,70.0,33.0,10.0,22.0,-0.9597789477841459,0.8902655438101403,0
EvanJo01,LB,65,9,2,0.0,7.0,0.0,3.5,127,81.0,46.0,6.0,5.0,-1.0543398127185934,-0.25488859992415946,0
EvanRa01,LB,54,46,1,0.0,7.0,0.0,3.0,297,185.0,112.0,13.0,13.0,-0.1677049482379629,-0.4086975244113957,0
FackKy00,LB,81,19,1,1.0,4.0,3.0,22.5,155,111.0,44.0,29.0,44.0,0.5197497970002869,1.463977995523178,1
FincAl20,LB,38,0,0,0.0,0.0,0.0,0.0,26,18.0,8.0,0.0,0.0,-2.1624560590086874,0.015916481043261058,0
FishLe20,LB,23,15,0,0.0,2.0,1.0,1.0,82,71.0,11.0,9.0,0.0,-1.7439048767606875,0.044412349044530494,0
FlemDa00,LB,11,0,0,0.0,0.0,0.0,0.0,10,3.0,7.0,0.0,0.0,-2.386347038860216,0.05480845812274231,0
FlowMa00,LB,53,3,0,0.0,2.0,1.0,3.5,50,38.0,12.0,5.0,4.0,-1.7019557002061045,0.24661931506941404,0
FloyLe00,LB,79,79,1,1.0,10.0,3.0,36.5,249,159.0,90.0,42.0,75.0,2.132151524140995,2.352266950090964,1
FokoMo99,LB,73,35,0,0.0,6.0,4.0,3.0,235,179.0,56.0,9.0,10.0,-0.34982542224418994,0.06779011088451285,0
FollZa99,LB,17,2,0,0.0,1.0,0.0,0.0,31,18.0,13.0,0.0,0.0,-2.2390497226212727,-0.010117111413283267,0
FolsJ.99,LB,2,0,0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,-2.484455099327569,0.08585457384496815,0
FootLa20,LB,187,134,4,0.0,27.0,10.0,25.0,818,552.0,266.0,65.0,35.0,5.692882383636544,0.008283434712460097,2
FordDe00,LB,85,43,0,0.0,7.0,12.0,40.0,159,117.0,42.0,44.0,79.0,1.7438444123011188,3.7735652055795885,1
ForrJo00,LB,12,4,0,0.0,1.0,0.0,0.0,9,6.0,3.0,2.0,1.0,-2.302882189110747,0.0843562598455758,0
FortKh00,LB,3,0,0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,-2.4778837273018706,0.08558797996101826,0
FostMa00,LB,107,92,8,2.0,20.0,4.0,8.5,667,460.0,207.0,41.0,23.0,4.082032842954218,-1.7452038883224141,2
FostRe00,LB,16,16,0,0.0,2.0,0.0,0.0,101,84.0,17.0,10.0,7.0,-1.7219509075568644,0.05319813681562245,0
FowlDa00,LB,90,45,0,0.0,15.0,10.0,34.5,197,138.0,59.0,44.0,59.0,1.7164313687973642,2.8343919999221328,1
FoxxKe20,LB,98,7,1,1.0,4.0,1.0,1.0,181,141.0,40.0,11.0,2.0,-0.4809914913578003,-0.5009340481252738,0
FranZa00,LB,57,9,0,0.0,2.0,0.0,0.0,71,40.0,31.0,0.0,0.0,-1.7526106099605023,-0.1436500034900634,0
FujiSc20,LB,143,125,7,0.0,26.0,11.0,23.5,771,600.0,171.0,43.0,19.0,4.861380329699411,-0.5087789576243649,2
GachAn00,LB,101,9,0,0.0,1.0,1.0,2.0,149,112.0,37.0,15.0,8.0,-0.8980418141353268,0.12058636217600911,0
GaitOm20,LB,92,45,2,0.0,20.0,2.0,6.0,344,264.0,80.0,24.0,10.0,0.8013865601796641,-0.45151653336145325,1
GardGi20,LB,55,15,1,0.0,7.0,0.0,1.0,118,82.0,36.0,7.0,4.0,-1.2413443376737658,-0.22945442795301452,0
GaryRa00,LB,40,13,0,0.0,1.0,1.0,11.5,84,45.0,39.0,10.0,32.0,-1.1397778557376004,1.0579073500247986,0
GayJWi00,LB,21,12,2,0.0,5.0,1.0,1.0,55,37.0,18.0,3.0,1.0,-1.6734397119064954,-0.1761631267388511,0
GedeBe00,LB,39,22,0,0.0,2.0,0.0,0.0,103,60.0,43.0,0.0,0.0,-1.656663133603613,-0.22875623813182783,0
GeorJe01,LB,37,1,0,0.0,0.0,0.0,0.5,36,27.0,9.0,2.0,2.0,-2.079816562218121,0.07065069437867022,0
